Gene,ColonCancer,BreastCancer
THOC7,,BreastLowRisk
TLR1,,BreastLowRisk
TMEM184B,,BreastLowRisk
TNFSF10,,BreastLowRisk
TNNI1,,BreastLowRisk
TOX3,,BreastLowRisk
TRIM27,,BreastLowRisk
TRIM46,,BreastLowRisk
TRMT61B,,BreastLowRisk
TRPS1,,BreastLowRisk
UBA52,,BreastLowRisk
WDYHV1,,BreastLowRisk
WNT7B,,BreastLowRisk
XBP1,,BreastLowRisk
XRCC2,,BreastLowRisk
ZBTB38,,BreastLowRisk
ZC3H11A,,BreastLowRisk
ZCCHC10,,BreastLowRisk
ZCCHC24,,BreastLowRisk
ZFP36L1,,BreastLowRisk
ZMIZ1,,BreastLowRisk
ZNF703,,BreastLowRisk
ATM,,BreastMedRisk
BRIP1,,BreastMedRisk
CHEK2,ColonLowRisk,BreastMedRisk
NBN,,BreastMedRisk
PALB2,,BreastMedRisk
ABCB1,Clotting,Clotting
APOB,Clotting,Clotting
APOC1,Clotting,Clotting
APOE,PathwayPanel,PathwayPanel
CRP,Clotting,Clotting
EPHA7,Clotting,Clotting
EPHX1,Clotting,Clotting
F7,Clotting,Clotting
HNF4A,Clotting,Clotting
NQO1,Clotting,Clotting
P2RY12,Clotting,Clotting
THBD,Clotting,Clotting
VEGFA,Clotting,Clotting
F12,InheritedThrombophilia,InheritedThrombophilia
F2,InheritedThrombophilia,InheritedThrombophilia
F5,PathwayPanel,PathwayPanel
F8,InheritedThrombophilia,InheritedThrombophilia
PROC,InheritedThrombophilia,InheritedThrombophilia
PROS1,InheritedThrombophilia,InheritedThrombophilia
SERPIND1,InheritedThrombophilia,InheritedThrombophilia
SERPINE1,InheritedThrombophilia,InheritedThrombophilia
ADRB2,PathwayPanel,PathwayPanel
COMT,PathwayPanel,PathwayPanel
CYP2D6,PathwayPanel,PathwayPanel
FABP2,PathwayPanel,PathwayPanel
FTO,PathwayPanel,PathwayPanel
GSTM1,PathwayPanel,PathwayPanel
GSTT1,PathwayPanel,PathwayPanel
HFE,PathwayPanel,PathwayPanel
MnSOD,PathwayPanel,PathwayPanel
SOD2,PathwayPanel,PathwayPanel
MTHFR,PathwayPanel,PathwayPanel
PPARg,PathwayPanel,PathwayPanel
PPARG,PathwayPanel,PathwayPanel
TMPRSS6,PathwayPanel,PathwayPanel
TNFa,PathwayPanel,PathwayPanel
TNFA,PathwayPanel,PathwayPanel
CALU,WarfarinPGX,WarfarinPGX
CYP1A1,WarfarinPGX,WarfarinPGX
CYP1A2,WarfarinPGX,WarfarinPGX
CYP2A6,WarfarinPGX,WarfarinPGX
CYP2C19,WarfarinPGX,WarfarinPGX
CYP2C8,WarfarinPGX,WarfarinPGX
CYP2C9,WarfarinPGX,WarfarinPGX
CYP3A4,WarfarinPGX,WarfarinPGX
CYP4F2,WarfarinPGX,WarfarinPGX
GGCX,WarfarinPGX,WarfarinPGX
VKORC1,WarfarinPGX,WarfarinPGX
ABCB11,,
AIP,,
ALK,,
APC,ColonHighRisk,
ATR,,
AXIN2,ColonLowRisk,
BAP1,,
BMPR1A,ColonHighRisk,
BRAF,,
BUB1B,,
CALU,,
CBL,,
CDC73,,
CDK4,,
CDKN1B,,
CDKN1C,,
CDKN2A,,
CEBPA,,
COL7A1,,
CTNNA1,ColonLowRisk,
CTR9,,
CYLD,,
CYP1A1,,
CYP2C19,,
CYP2C8,,
DDB2,,
DICER1,,
DIS3L2,,
DKC1,,
DOCK8,,
DROSHA,,
EGFR,,
ELANE,,
ENG,,
ERCC1,,
ERCC2,,
ERCC3,,
ERCC4,,
ERCC5,,
ETV6,,
EXT1,,
EXT2,,
FAH,,
FANCA,,
FANCC,,
FANCD2,,
FANCE,,
FANCF,,
FANCG,,
FANCI,,
FANCL,,
FH,,
FLCN,,
GALNT12,ColonLowRisk,
GATA2,,
GBA,,
GJB2,,
GPC3,,
GREM1,ColonLowRisk,
HMBS,,
HNF1A,,
HOXB13,,
HRAS,,
ITK,,
JMJD1C,,
KIF1B,,
KIT,,
KRAS,,
LMO1,,
MAP2K1,,
MAP2K2,,
MAX,,
MEN1,,
MET,,
MITF,,
MPL,,
MSH3,ColonLowRisk,
MTAP,,
NF2,,
NHP2,,
NOP10,,
NRAS,,
NTHL1,ColonLowRisk,
PALLD,,
PAX5,,
PDGFRA,,
PHOX2B,,
PMS1,ColonLowRisk,
PMS2,ColonHighRisk,
POLD1,ColonLowRisk,
POLE,ColonLowRisk,
POLH,,
POT1,,
PRDM9,,
PRF1,,
PRKAR1A,,
PRSS1,,
PTCH1,,
PTPN11,,
RAF1,,
RB1,,
RECQL4,,
RET,,
RHBDF2,,
RMRP,,
RNF43,ColonLowRisk,
RPS20,ColonLowRisk,
RUNX1,,
SBDS,,
SDHA,,
SDHAF2,,
SDHB,,
SDHC,,
SDHD,,
SERPINA1,,
SETBP1,,
SH2B3,,
SH2D1A,,
SHOC2,,
SLC25A13,,
SMAD4,ColonHighRisk,
SMARCA4,,
SMARCB1,,
SMARCE1,,
SOS1,,
SPRTN,,
SRY,,
STAT3,,
SUFU,,
TERC,,
TERT,,
TGFBR1,,
TMEM127,,
TNFRSF6,,
TRIM37,,
TSC1,,
TSC2,,
TSHR,,
UROD,,
VHL,,
WAS,,
WRN,,
WT1,,
XPA,,
XPC,,
ACD,,
CTRC,,
FAM175A,,
FANCB,,
MRE11A,,
NSD1,,
RAD51,,
SLX4,,
SPINK1,,
TERF2IP,,
CDKN2B,,BreastMedRisk
